"","placement","Manual.Placement","acm_id","Math.Confidence","Ed_HS","Ed_SomeCol","Ed_Col","HasTutored","SpanishAble","Lang_Other","Male","Other.Gender","Race.Ethnicity.Hispanic","Race.Ethnicity.Asian","Race.Ethnicity.White","Race.Ethnicity.Black","Birth.Date","days_old","Manual.Placement_id","School","size","span","% Hispanic","Address","nhood","HSGrad_tgt","SomeCol_tgt","TutExp","SpanishNeed","OtherLang_tgt","Math_tgt","Male_tgt","AA_tgt","acm_dest_id","time"
"18",3,NA,"24",1,1,0,0,0,1,0,0,0,0,0,0,0,"02/20/1999",6688,NA,"122nd Street Elementary School",9,"Elementary",0.80952380952381,"405 E 122nd St, Los Angeles, Ca 90061","W",0.383720930232558,0.523255813953488,0.523255813953488,1.65461789725629,0.383720930232558,2.72093023255814,2.05813953488372,1,"24 - 3",33.5
"19",3,NA,"171",1,0,0,1,0,1,0,0,0,1,0,0,0,"06/20/1995",8029,NA,"122nd Street Elementary School",9,"Elementary",0.80952380952381,"405 E 122nd St, Los Angeles, Ca 90061","W",0.383720930232558,0.523255813953488,0.523255813953488,1.65461789725629,0.383720930232558,2.72093023255814,2.05813953488372,1,"171 - 3",0
"20",3,NA,"73",0,0,0,1,0,0,0,0,0,1,0,0,0,"07/15/1993",8734,NA,"122nd Street Elementary School",9,"Elementary",0.80952380952381,"405 E 122nd St, Los Angeles, Ca 90061","W",0.383720930232558,0.523255813953488,0.523255813953488,1.65461789725629,0.383720930232558,2.72093023255814,2.05813953488372,1,"73 - 3",0
"21",3,"122nd Street Elementary School","320",1,0,0,1,1,1,0,0,0,1,0,0,0,"05/25/1992",9150,3,"122nd Street Elementary School",9,"Elementary",0.80952380952381,"405 E 122nd St, Los Angeles, Ca 90061","W",0.383720930232558,0.523255813953488,0.523255813953488,1.65461789725629,0.383720930232558,2.72093023255814,2.05813953488372,1,"320 - 3",0
"22",3,NA,"105",1,0,0,1,0,0,1,0,0,0,1,0,0,"08/09/1995",7979,NA,"122nd Street Elementary School",9,"Elementary",0.80952380952381,"405 E 122nd St, Los Angeles, Ca 90061","W",0.383720930232558,0.523255813953488,0.523255813953488,1.65461789725629,0.383720930232558,2.72093023255814,2.05813953488372,1,"105 - 3",0
"23",3,NA,"142",1,0,0,1,0,1,0,0,0,1,0,0,0,"03/17/1993",8854,NA,"122nd Street Elementary School",9,"Elementary",0.80952380952381,"405 E 122nd St, Los Angeles, Ca 90061","W",0.383720930232558,0.523255813953488,0.523255813953488,1.65461789725629,0.383720930232558,2.72093023255814,2.05813953488372,1,"142 - 3",20.0833333333333
"24",3,NA,"102",0,0,0,1,0,0,0,1,0,0,0,0,1,"04/26/1994",8449,NA,"122nd Street Elementary School",9,"Elementary",0.80952380952381,"405 E 122nd St, Los Angeles, Ca 90061","W",0.383720930232558,0.523255813953488,0.523255813953488,1.65461789725629,0.383720930232558,2.72093023255814,2.05813953488372,1,"102 - 3",0
"25",3,NA,"402",0,0,0,1,0,0,0,0,0,1,0,0,0,"07/24/1994",8360,NA,"122nd Street Elementary School",9,"Elementary",0.80952380952381,"405 E 122nd St, Los Angeles, Ca 90061","W",0.383720930232558,0.523255813953488,0.523255813953488,1.65461789725629,0.383720930232558,2.72093023255814,2.05813953488372,1,"402 - 3",0
"26",3,NA,"87",1,0,0,1,0,1,0,1,0,1,0,0,0,"05/01/1995",8079,NA,"122nd Street Elementary School",9,"Elementary",0.80952380952381,"405 E 122nd St, Los Angeles, Ca 90061","W",0.383720930232558,0.523255813953488,0.523255813953488,1.65461789725629,0.383720930232558,2.72093023255814,2.05813953488372,1,"87 - 3",58.7166666666667
"27",4,NA,"426",0,0,0,0,0,0,0,1,0,0,0,0,1,"12/12/1992",8949,NA,"93rd Street ES",12,"Elementary",0.874074074074074,"330 E. 93rd St, Los Angeles, CA 90003","W",0.511627906976744,0.697674418604651,0.697674418604651,2.38539610102529,0.511627906976744,3.62790697674419,2.74418604651163,1,"426 - 4",0
